Date,Close,High,Low,Open,Volume
5/15/1997,0.097916998,0.125,0.096354,0.121875003,1443120000
5/16/1997,0.086457998,0.098958001,0.085417002,0.098438002,294000000
5/19/1997,0.085417002,0.088541999,0.081249997,0.088021003,122136000
5/20/1997,0.081771001,0.087499999,0.081771001,0.086457998,109344000
5/21/1997,0.071354002,0.082291998,0.068750001,0.081771001,377064000
5/22/1997,0.069792002,0.072396003,0.065624997,0.071874999,235536000
5/23/1997,0.075000003,0.076041996,0.066666998,0.070312999,318744000
5/27/1997,0.079167001,0.082291998,0.072916999,0.075521,173952000
5/28/1997,0.076563001,0.081771001,0.076563001,0.081249997,91488000
5/29/1997,0.075259998,0.077082999,0.073958002,0.077082999,69456000
5/30/1997,0.075000003,0.075521,0.073958002,0.075000003,51888000
6/2/1997,0.075521,0.076563001,0.075000003,0.075521,11832000
6/3/1997,0.073958002,0.076563001,0.073958002,0.076563001,23664000
6/4/1997,0.070832998,0.074478999,0.069792002,0.073958002,61608000
6/5/1997,0.077082999,0.077082999,0.068750001,0.070832998,113448000
6/6/1997,0.082813002,0.085417002,0.075521,0.075781003,156144000
6/9/1997,0.084375001,0.085417002,0.082813002,0.082813002,47040000
6/10/1997,0.079167001,0.085417002,0.076563001,0.085417002,109176000
6/11/1997,0.077082999,0.080208004,0.076563001,0.079687998,23760000
6/12/1997,0.080208004,0.082291998,0.077604003,0.079167001,32640000
6/13/1997,0.079167001,0.081249997,0.079167001,0.081249997,13872000
6/16/1997,0.078645997,0.080208004,0.078125,0.080208004,18264000
6/17/1997,0.075259998,0.079948001,0.07474,0.079948001,94128000
6/18/1997,0.075521,0.076823004,0.075000003,0.076041996,49296000
6/19/1997,0.075521,0.076563001,0.075000003,0.075521,20064000
6/20/1997,0.076301999,0.077604003,0.075000003,0.076563001,67752000
6/23/1997,0.075000003,0.077082999,0.073958002,0.077082999,20952000
6/24/1997,0.075521,0.076301999,0.073958002,0.075259998,15024000
6/25/1997,0.075521,0.076301999,0.074478999,0.076301999,42120000
6/26/1997,0.075521,0.076041996,0.075259998,0.076041996,63792000
6/27/1997,0.074478999,0.075781003,0.073958002,0.075781003,23760000
6/30/1997,0.077082999,0.079948001,0.073958002,0.075521,54936000
7/1/1997,0.075781003,0.077082999,0.075521,0.077082999,25848000
7/2/1997,0.079426996,0.079687998,0.075521,0.075781003,77640000
7/3/1997,0.095573001,0.095833004,0.079687998,0.079948001,251544000
7/7/1997,0.100000001,0.101042002,0.091666996,0.091666996,161064000
7/8/1997,0.115103997,0.116667002,0.102082998,0.102082998,310344000
7/9/1997,0.116145998,0.119271003,0.113541998,0.115103997,165240000
7/10/1997,0.128124997,0.128646001,0.116667002,0.116667002,181032000
7/11/1997,0.114583001,0.126041993,0.110417001,0.126041993,210624000
7/14/1997,0.106771,0.116667002,0.105728999,0.116145998,92088000
7/15/1997,0.121875003,0.123957999,0.106771,0.106771,185496000
7/16/1997,0.116667002,0.124739997,0.115103997,0.122396,60480000
7/17/1997,0.110937998,0.117187999,0.107813001,0.117187999,63384000
7/18/1997,0.107813001,0.110937998,0.107813001,0.109375,15600000
7/21/1997,0.109114997,0.109895997,0.107291996,0.108854003,11496000
7/22/1997,0.106771,0.109375,0.103124999,0.108332999,31272000
7/23/1997,0.114583001,0.116667002,0.108854003,0.109375,65184000
7/24/1997,0.113021001,0.115625001,0.110937998,0.115103997,24336000
7/25/1997,0.111458004,0.112499997,0.110937998,0.110937998,12408000
7/28/1997,0.116145998,0.119791999,0.110937998,0.111458004,51480000
7/29/1997,0.123957999,0.125,0.116667002,0.118229002,96288000
7/30/1997,0.122396,0.125259995,0.121353999,0.125,50352000
7/31/1997,0.119791999,0.121875003,0.116667002,0.121875003,29088000
8/1/1997,0.120833002,0.120833002,0.112499997,0.117187999,71760000
8/4/1997,0.115625001,0.120572999,0.115103997,0.118749999,53424000
8/5/1997,0.110417001,0.116667002,0.107291996,0.116667002,60648000
8/6/1997,0.112499997,0.115625001,0.109375,0.110417001,24864000
8/7/1997,0.108854003,0.113021001,0.106250003,0.112499997,40680000
8/8/1997,0.114583001,0.115103997,0.105208002,0.108332999,44232000
8/11/1997,0.116406001,0.116667002,0.112499997,0.114583001,24792000
8/12/1997,0.109895997,0.115103997,0.109895997,0.114063002,11424000
8/13/1997,0.109895997,0.111458004,0.108332999,0.111458004,11808000
8/14/1997,0.107813001,0.112499997,0.10599,0.108854003,20832000
8/15/1997,0.105728999,0.107813001,0.096874997,0.106771,31944000
8/18/1997,0.102082998,0.102604002,0.098438002,0.102604002,35688000
8/19/1997,0.108332999,0.110417001,0.102604002,0.104688004,20064000
8/20/1997,0.108332999,0.109375,0.103646003,0.109375,19992000
8/21/1997,0.105728999,0.108594,0.103646003,0.106771,12480000
8/22/1997,0.106250003,0.106250003,0.104688004,0.105208002,14256000
8/25/1997,0.110937998,0.113021001,0.105208002,0.105208002,22536000
8/26/1997,0.117187999,0.117707998,0.111458004,0.111979,51480000
8/27/1997,0.115884997,0.116145998,0.112499997,0.115364999,27840000
8/28/1997,0.118749999,0.119791999,0.114063002,0.115103997,22944000
8/29/1997,0.116926998,0.118749999,0.116145998,0.118229002,14448000
9/2/1997,0.117707998,0.118749999,0.116667002,0.117187999,14640000
9/3/1997,0.116667002,0.120833002,0.115625001,0.117187999,39288000
9/4/1997,0.127603993,0.127603993,0.117187999,0.118229002,66960000
9/5/1997,0.125,0.133332998,0.122916996,0.129167005,38160000
9/8/1997,0.150000006,0.151041999,0.125,0.126562998,112968000
9/9/1997,0.161979005,0.169271007,0.151301995,0.157031,179424000
9/10/1997,0.165104002,0.166406006,0.15625,0.165625006,77328000
9/11/1997,0.157812998,0.166666999,0.152082995,0.166666999,85248000
9/12/1997,0.184375003,0.184896007,0.157812998,0.159374997,66672000
9/15/1997,0.154688001,0.183853999,0.152603999,0.183332995,111672000
9/16/1997,0.167707995,0.177083001,0.155990005,0.15625,128640000
9/17/1997,0.170313001,0.174999997,0.166666999,0.172916993,52152000
9/18/1997,0.164582998,0.173437998,0.164063007,0.171875,42576000
9/19/1997,0.197395995,0.204166993,0.168750003,0.169009998,178584000
9/22/1997,0.224999994,0.233853996,0.197395995,0.200000003,338760000
9/23/1997,0.231250003,0.232291996,0.219791993,0.224479005,153648000
9/24/1997,0.21875,0.240624994,0.214582995,0.232291996,164016000
9/25/1997,0.203906,0.217708007,0.202603996,0.217188001,99360000
9/26/1997,0.208333001,0.213020995,0.202603996,0.203646004,54624000
9/29/1997,0.202083007,0.209374994,0.197916999,0.207292005,47424000
9/30/1997,0.216927007,0.217447996,0.190103993,0.200000003,105096000
10/1/1997,0.201041996,0.224999994,0.196875006,0.221874997,99984000
10/2/1997,0.200521007,0.208854005,0.199478999,0.202083007,37536000
10/3/1997,0.200781003,0.206249997,0.198957995,0.204166993,23280000
10/6/1997,0.206249997,0.206249997,0.197135001,0.200000003,40560000
10/7/1997,0.202865005,0.209374994,0.202083007,0.204166993,34848000
10/8/1997,0.200259998,0.208333001,0.199219003,0.207292005,56136000
10/9/1997,0.1875,0.201041996,0.186978996,0.200000003,79008000
10/10/1997,0.195051998,0.203125,0.183332995,0.186458007,75744000
10/13/1997,0.200000003,0.202083007,0.196354002,0.196354002,16296000
10/14/1997,0.198957995,0.205208004,0.191667005,0.203125,30936000
10/15/1997,0.196094006,0.198438004,0.188541993,0.198438004,47112000
10/16/1997,0.181250006,0.198957995,0.180207998,0.198957995,69624000
10/17/1997,0.181250006,0.182813004,0.176042005,0.180729002,50688000
10/20/1997,0.191146001,0.193749994,0.183332995,0.183853999,98256000
10/21/1997,0.221353993,0.221874997,0.192708001,0.197916999,241920000
10/22/1997,0.226042002,0.230989993,0.21875,0.220833004,104160000
