Date,Close,High,Low,Open,Volume
6/12/1980,1.259593725,1.259593725,1.229058138,1.259593725,178200
6/13/1980,1.313031077,1.313031077,1.259593868,1.259593868,196425
6/16/1980,1.267227411,1.297762994,1.25959354,1.297762994,298350
6/17/1980,1.267227411,1.267227411,1.251959571,1.267227411,344250
6/18/1980,1.240508437,1.267226977,1.232874372,1.267226977,129600
6/19/1980,1.198522925,1.232875361,1.187072015,1.232875361,83025
6/20/1980,1.190888405,1.206156146,1.183254436,1.198522275,207225
6/23/1980,1.187070727,1.209972326,1.171802897,1.190887759,557550
6/24/1980,1.221424937,1.221424937,1.190889333,1.190889333,174150
6/25/1980,1.225241184,1.229058219,1.209973341,1.221424346,294300
6/26/1980,1.221424937,1.229058814,1.217607802,1.225241777,791775
6/27/1980,1.225241184,1.229058219,1.217607213,1.221424346,104625
6/30/1980,1.221424937,1.229058814,1.19852321,1.225241777,85050
7/1/1980,1.221424937,1.225241777,1.209973926,1.221424937,89100
7/2/1980,1.225241184,1.225241184,1.213790375,1.221424346,89100
7/3/1980,1.229058146,1.229058146,1.221424274,1.225241112,550125
7/7/1980,1.229058146,1.236692019,1.221424274,1.229058146,144450
7/8/1980,1.229058146,1.236692019,1.217607142,1.229058146,148500
7/9/1980,1.225241184,1.248142999,1.225241184,1.229058219,89100
7/10/1980,1.236691713,1.248142617,1.221423973,1.22524081,39150
7/11/1980,1.240508437,1.248142306,1.236691405,1.236691405,33750
7/14/1980,1.282494903,1.282494903,1.236691587,1.24050862,90450
7/15/1980,1.267227411,1.286312187,1.263410574,1.282495153,289575
7/16/1980,1.286311746,1.286311746,1.251959141,1.267226976,103950
7/17/1980,1.293946743,1.293946743,1.282495735,1.28631277,58725
7/18/1980,1.30539608,1.30539608,1.290128347,1.293945379,127575
7/21/1980,1.370285988,1.370285988,1.301580905,1.305397745,816750
7/22/1980,1.320664644,1.370285102,1.320664644,1.370285102,253800
7/23/1980,1.286311746,1.313030285,1.282494713,1.313030285,112050
7/24/1980,1.293946743,1.297763582,1.290129707,1.290129707,43875
7/25/1980,1.27867794,1.293945776,1.271044072,1.293945776,182925
7/28/1980,1.267227411,1.282495153,1.267227411,1.278678316,29025
7/29/1980,1.274861217,1.27867825,1.267227346,1.267227346,81675
7/30/1980,1.27867794,1.27867794,1.267227039,1.274860908,52650
7/31/1980,1.27867794,1.27867794,1.267227039,1.27867794,125550
8/1/1980,1.267227411,1.282495153,1.267227411,1.278678316,72900
8/4/1980,1.255775452,1.263409315,1.240507626,1.263409315,100575
